FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Layout;LONGITUDE;LATITUDE
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM SERVICE;Off;107.502;-60.215
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM SERVICE;Off;107.515;-60.338
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.526;-60.322
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.523;-60.337
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.552;-610.56
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.539;-613.203
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.572;-6.124
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.646;-5.834
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.669;-586.24
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.692;-585.988
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.676;-591.609
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.813;-588.529
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.831;-591.073
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.808;-59.312
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.79;-59.056
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.753;-59.07
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM TANKER;Off;107.765;-59.258
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.719;-584.477
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.731;-587.223
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.702;-589.148
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.657;-59.178
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.668;-59.357
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.689;-594.404
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.71;-59.398
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.761;-601.765
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.75;-599.193
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.737;-598.137
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;10.772;-596.97
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.745;-59.713
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.735;-59.485
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.785;-599.208
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.7;-60.557
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.746;-608.931
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.772;-61.158
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.766;-60.851
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.79;-60.963
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.839;-6.111
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.807;-610.86
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.873;-61.202
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.865;-60.389
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.857;-612.108
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.855;-61.228
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.699;-60.831
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.78;-60.923
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.826;-61.03
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-COMPRESSOR;Off;107.712;-60.642
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.726;-6.069
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.728;-60.755
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM EA-WELL;Off;107.731;-607.693
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.719;-60.697
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.716;-607.922
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.719;-607.713
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.856;-6.132
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;1.078;-61.31
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-PROCESS;Off;107.763;-596.75
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-COMPRESSOR;Off;107.78;-59.784
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.775;-59.729
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.76;-596.714
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.768;-59.722
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM EA-WELL;Off;107.754;-596.288
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.777;-597.734
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.759;-5.975
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.761;-5.973
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.743;-59.61
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.749;-596.437
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.79;-5.982
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.787;-5.983
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.794;-599.27
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.795;-59.897
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-PROCESS;Off;107.793;-5.954
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.79;-595.504
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM EA-WELL;Off;107.784;-595.042
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.791;-5.961
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-COMPRESSOR;Off;10.78;-596.12
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.781;-594.939
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;10.78;-596.077
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.786;-596.263
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.821;-596.84
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;10.783;-59.567
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.861;-594.003
